label,text
DESC:def, What is the definition of a quadriplegic ?
DESC:def, What is the definition of a quadriplegic ?
DESC:def, What is the meaning of `` beat '' in boxing ?
DESC:def, What does the Latin ante mortem mean in English ?
DESC:def, What does the Latin ante mortem mean in English ?
DESC:def, What is the definition of a trapezoid ?
DESC:def, What does `` 9 '' mean in braille ?
DESC:def, What does the word `` qigong '' mean ?
DESC:def, What does the word `` smog '' stand for ?
DESC:def, What is the definition of a quadrilateral ? .
DESC:def, What does `` je ne sais quoi '' mean ?
DESC:def," What is the meaning of life ? , what does it all mean"
DESC:def, What does the word `` flapper '' mean ?
DESC:def," What is the definition of a bachelor apartment ? ,"
DESC:def, What does the word `` boondoggle '' mean ?
DESC:def, What does the word `` quagmire '' mean ?
DESC:def, What is `` nine '' in the game of Go ?
DESC:def, What is a synonym for the word `` star '' ?
DESC:def, What are carpal tunnel syndrome and tennis elbow ?
DESC:def, What is the meaning of `` rosin '' ?
DESC:def, What does `` the ball is in your court '' mean ?
DESC:def, What is the meaning of `` life '' ? 1
DESC:def, What is `` nine '' in the numeral system ?
DESC:def, What does `` the cat is out of the bag '' mean ?
DESC:def, What are the `` Little Rascals '' ?
DESC:def, What is a geoscientist ? ] .
DESC:def, What does the term `` 69 '' mean in sexual language ?
DESC:def, What does `` The Star-Spangled Banner '' mean ?
DESC:def, What does the word `` flaneur '' mean ?
DESC:def, What is an alveolus ? Print this page
DESC:def, What is a `` perfect '' score in an Olympic gymnastics exercise ?
DESC:def," What is `` the '' in window , door ?"
DESC:def, What is a geocache ? | jeffery
DESC:def, What does the name `` Odette '' mean ?
DESC:def, What is the definition of racism ? . c.
DESC:def, What is `` cat scratch fever '' ? | q =
DESC:def," What are the 7 deadly sins ? ] ,"
DESC:def, What does the term `` 29 '' mean in karate ?
DESC:def, What are the 7 Wonders of South America ?
DESC:def, What is a word that means `` the state of being dirty '' ?
DESC:def, What does `` jai alai '' mean ?
DESC:def, What does the term `` 23 '' mean in baseball ?
DESC:def, What is a `` blue blood '' ? 2
DESC:def, What does `` 29 '' mean in Irish ?
DESC:def," What does the Latin word equinox mean ? ,"
DESC:def, What is amaretto made from ? . br />
DESC:def, What is a cullion ? | lc:yes
