label,text
flight_time, what time does continental depart from boston to san francisco
flight_time, what time does continental depart from boston to san francisco
flight_time, what time does continental depart from boston to san francisco
flight_time, what time does continental depart from boston to san francisco
flight_time, what is the schedule of flights from denver to pittsburgh
flight_time, what is the earliest flight from boston to san francisco
flight_time, what is the earliest flight from boston to san francisco
flight_time, what is the schedule of flights from denver to philadelphia
flight_time, what time are the flights from boston to washington
flight_time, what time are the flights from baltimore to san francisco
flight_time, what is the schedule of flights from boston to oakland
flight_time, what time is the earliest flight from denver to san francisco
flight_time, what is the schedule of flights from dallas to san francisco
flight_time, i would like a schedule of flights from boston to san francisco
flight_time, what is the schedule of flights between denver and san francisco
flight_time, what time does continental depart from philadelphia to san francisco
flight_time, what is the schedule of flights between toronto and san francisco
flight_time, what is the schedule of flights from washington to denver
flight_time, what time is the earliest flight from atlanta to denver
flight_time, what is the schedule for flights from pittsburgh to san francisco
flight_time, when does american fly from boston to san francisco
flight_time, what is the schedule of flights from denver to dallas
flight_time, what is the schedule of flights from baltimore to toronto
flight_time, what is the schedule of flights from detroit to westchester county
flight_time, please list the flight times from denver to pittsburgh
flight_time, show me the times for flights from baltimore to san francisco
flight_time, what is the flight schedule from boston to philadelphia
flight_time, i would like the schedule of flights from denver to san francisco
flight_time, what time does the earliest flight leave from atlanta to san francisco
flight_time, what is the schedule for flights from boston to dallas
flight_time, what time is the earliest flight from toronto to boston
flight_time, what is the earliest departure time from washington to montreal
flight_time, show me the schedule of flights from denver to oakland
flight_time, what time are flights from pittsburgh to philadelphia
flight_time, what is the schedule for flights between toronto and detroit
flight_time, what time is the last flight from boston to pittsburgh
flight_time, what is the schedule of flights between detroit and san francisco
flight_time, show me flight times from boston to washington
flight_time, what time does the latest flight leave from boston to san francisco
flight_time, what is the schedule for flights from dallas to philadelphia
flight_time, what time is the flight from denver to philadelphia
flight_time, when does northwest fly from philadelphia to san francisco
flight_time, list schedule of flights from atlanta to boston
flight_time, what is the flight schedule from toronto to pittsburgh
flight_time, i 'd like a schedule of flights from philadelphia to san francisco
flight_time, what is the total schedule of flights between toronto and detroit
