label,text,predicted_label,probability
ENTY:letter," What letter adorns the flag of Zambia ? ,",ENTY:letter,0.5683
ENTY:letter, What letter is to the right of K on a typewriter keyboard ?,ENTY:letter,0.5658
ENTY:letter, What is the 6th letter of Scarface 's gang initial on The Simpsons ?,ENTY:letter,0.5651
ENTY:letter, What letter is to the left of K on a typewriter keyboard ?,ENTY:letter,0.5649
ENTY:letter," What letter appears on the shield of Yugoslavia ? ,",ENTY:letter,0.5644
ENTY:letter, What letter appears on the shield of Argentina ? C,ENTY:letter,0.5639
ENTY:letter, What letter adorns the flag of Rwanda ? The answer is R .,ENTY:letter,0.5636
ENTY:letter, What letter appears on the Egyptian hieroglyph for beer ?,ENTY:letter,0.5608
ENTY:letter," What letter appears between O , P and Q on a typewriter keyboard ?",ENTY:letter,0.5585
ENTY:letter, What is the last letter of The Scarlet Pimpernel 's signature ?,ENTY:letter,0.5584
NUM:date, In what year did Thatcher become British prime minister ?,NUM:date,0.5781
NUM:date, In what year was the Battle of Bunker Hill ?,NUM:date,0.5744
NUM:date, When did the first American embassy open in Japan ?,NUM:date,0.5742
NUM:date, In what year was the San Francisco fire ? __ :,NUM:date,0.5728
NUM:date, What year was the Berlin wall built ? 1961,NUM:date,0.5721
NUM:date, In what year was the Titanic built ? __HUM:temp,NUM:date,0.5719
NUM:date, When did the second intifada end ? .,NUM:date,0.5712
NUM:date, In what year was the Soviet Union founded ? __ ;,NUM:date,0.5711
NUM:date, When did the Spanish Inquisition end ? [SEP] 1834 .,NUM:date,0.571
NUM:date, When did they canonize Saint Nicholas ? __ ___,NUM:date,0.57
NUM:temp, What temperature does the inside of an active volcano reach ?,NUM:temp,0.4665
NUM:temp, What is the temperature in Los Angeles ?[SEP] How cold does a black hole have to be before it evaporates away into nothingness,NUM:temp,0.4654
NUM:temp, What temperature should a barbeque be at to cook ribs ?,NUM:temp,0.4644
NUM:temp, What is the temperature in Tokyo ? [SEP] How cold does it get inside a refrigerator during defrosting to melt ice that has formed on its coils and other parts .,NUM:temp,0.4639
NUM:temp, What temperature should a barbeque be set at ?,NUM:temp,0.4635
NUM:temp, What temperature should a barbecued rib be ?,NUM:temp,0.4632
NUM:temp," What is the temperature for cooking ? , what 's a good oven temp to bake apple pies in at",NUM:temp,0.4623
NUM:temp, What is the temperature of the sun 's surface ?,NUM:temp,0.4617
NUM:temp," What is the temperature in Anchorage , Alaska ?",NUM:temp,0.4613
NUM:temp," What is the temperature in Alaska ? How hot does a rocket engine get inside an Atlas booster during launching , and what keeps it from melting through its casing of steel alloy that resists corrosion at 800 degrees Fahrenheit ?.",NUM:temp,0.4607
ENTY:lang, What is the most commonly-spoken language in Germany ?,ENTY:lang,0.7099
ENTY:lang, What 's the most commonly-spoken language in Belgium ?,ENTY:lang,0.7092
ENTY:lang, What 's the native language of Ireland ? :,ENTY:lang,0.7085
ENTY:lang, What 's the most commonly-spoken language in Italy ?,ENTY:lang,0.7085
ENTY:lang, What 's the most commonly-spoken language in France ?,ENTY:lang,0.7085
ENTY:lang, What 's the most commonly-spoken language in Mexico ?,ENTY:lang,0.7079
ENTY:lang, What 's the official language of Algeria ? .,ENTY:lang,0.7055
ENTY:lang," What 's the official language of Greenland ? , :",ENTY:lang,0.705
ENTY:lang," What 's the official language of Algeria ? ,",ENTY:lang,0.7047
ENTY:lang, What language is mainly-spoken in Algeria ? -,ENTY:lang,0.7045
DESC:manner, How do I find out who my ancestor 's ship was on ?,DESC:manner,0.565
DESC:manner," How do I build a homemade hovercraft ? ,",DESC:manner,0.5643
DESC:manner, How do I install a second hard disk ? .,DESC:manner,0.5635
DESC:manner, How do I remove a screen on an Alphatech computer ?,DESC:manner,0.5632
DESC:manner, How do I change my Yahoo ! e-mail address ?,DESC:manner,0.5631
DESC:manner, How do I get an Arizona driver 's license ?,DESC:manner,0.563
DESC:manner, How do I register a website ? -Ask- .com,DESC:manner,0.5624
DESC:manner," How do I contact AT & T ? , to get their current employee pricing plans for cell phones and service .",DESC:manner,0.5616
DESC:manner, How do I install Microsoft FrontPage ? . ..,DESC:manner,0.5611
DESC:manner, How do I build a 6-foot privacy fence with posts that are buried four feet into my yard ?,DESC:manner,0.5606
LOC:city, In what city is the U.S. Naval Academy ?,LOC:city,0.6225
LOC:city," What city is the home of General Motors ? ,",LOC:city,0.6224
LOC:city, What Russian city is on the Vychegda River ?,LOC:city,0.6222
LOC:city, What city is the home of The Three Stooges ?,LOC:city,0.622
LOC:city, What city is the site of New York University ?,LOC:city,0.6215
LOC:city, What city in Texas is the site of Southwest Medical Center ?,LOC:city,0.6214
LOC:city, What Russian city has the Hermitage Museum ?,LOC:city,0.6214
LOC:city, What city is the setting for Samuel Fuller 's Park Row ?,LOC:city,0.6214
LOC:city, What Russian city boasts the Hermitage Museum ?,LOC:city,0.621
LOC:city, What city in Kentucky is home to Transylvania University ?,LOC:city,0.6208
LOC:state, What U.S . state is known as the Yellowstone State ?,LOC:state,0.6521
LOC:state, What U.S . state is Mount McKinley in ?,LOC:state,0.6504
LOC:state, What U.S . state is Fort Knox in ?,LOC:state,0.6499
LOC:state, What state did the Battle of Black Hawk Drive through ?,LOC:state,0.6484
LOC:state, What U.S . state has the longest coastline ?,LOC:state,0.6476
LOC:state, What U.S . state is home to the most Indians ?,LOC:state,0.6468
LOC:state, What state did the Battle of Bighorn take place in ?,LOC:state,0.646
LOC:state, What U.S. state is the southernmost ?,LOC:state,0.6459
LOC:state," What U.S state is Fort Knox in ? ,",LOC:state,0.6459
LOC:state, What U.S state does the Mississippi River flow through ?,LOC:state,0.6455
NUM:period, How old was John D . Rockefeller ? ... How long does it take sunlight to reach earth from the sun?,NUM:period,0.5033
NUM:period, How long is human gestation ? | how old was queen victoria when she died,NUM:period,0.4992
NUM:period, How long does it take for a male human being to digest food ?,NUM:period,0.4983
NUM:period, How old is the youngest president ? __ : ),NUM:period,0.4982
NUM:period, How long did it take light to travel from the surface of Venus back home ?,NUM:period,0.4979
NUM:period, How long do you have to be exposed for in order to get radiation poisoning ?,NUM:period,0.4974
NUM:period, How old is Steffi Graf ? 2019,NUM:period,0.4965
NUM:period, How long did it take for Einstein to receive his Ph.D.?,NUM:period,0.4964
NUM:period, How long did it take to complete the Berlin Wall ?,NUM:period,0.4957
NUM:period, How long does it take for Spider-Man 's web to evaporate ?,NUM:period,0.4952
ENTY:color, What color are the Gypsies ? . -,ENTY:color,0.6888
ENTY:color, What color bottles do good Rhine wines come in ?,ENTY:color,0.6886
ENTY:color, What color are the cockroaches in Starship Troopers ?,ENTY:color,0.6885
ENTY:color, What color are the bottles for Mouton-Cadet wine ?,ENTY:color,0.6873
ENTY:color," What color is the Olympic torch ? , when it burns during an Olympics",ENTY:color,0.6873
ENTY:color, What color are the horses in The Black Stallion series ?,ENTY:color,0.6868
ENTY:color, What color was the U.S . Searanger ?,ENTY:color,0.6862
ENTY:color, What color is the border on a backgammon board ?,ENTY:color,0.686
ENTY:color, What color are the horses in The Black Stallion ?,ENTY:color,0.6859
ENTY:color, What color were all of the costumes in The Music Man ?,ENTY:color,0.6857
LOC:mount, What 's the second-highest mountain in Japan ?,LOC:mount,0.7219
LOC:mount, What was the highest mountain on Earth before Mount Everest became known as such ?,LOC:mount,0.7218
LOC:mount, What is the highest mountain in Africa ?  ?,LOC:mount,0.7214
LOC:mount, What is the second-highest mountain in Japan ?,LOC:mount,0.7213
LOC:mount," What is the second highest mountain in Europe ? ,",LOC:mount,0.7213
LOC:mount, What 's the highest mountain in Japan ? .,LOC:mount,0.7213
LOC:mount, What is the second-highest mountain in Europe ?,LOC:mount,0.7207
LOC:mount, What was the highest mountain on Earth before Mount Everest was discovered ?,LOC:mount,0.7206
LOC:mount, Which is the second-highest mountain in Italy ?,LOC:mount,0.7203
LOC:mount," What 's the highest mountain in Africa ? ,",LOC:mount,0.7203
ENTY:plant," What plant has the largest seed ? , or fruit?",ENTY:plant,0.5858
ENTY:plant, What plant has the largest seed ? The coconut .,ENTY:plant,0.5854
ENTY:plant, What plant has the largest seed ? The coconut palm tree .,ENTY:plant,0.5849
ENTY:plant," What plant did Joseph Priestley call the ""sulfur flower"" ?",ENTY:plant,0.5842
ENTY:plant, What plant has the largest seed ? The saguaro cactus .,ENTY:plant,0.5842
ENTY:plant, What plant has the largest seeds ? - AskABiologist,ENTY:plant,0.584
ENTY:plant, What plant has the largest seed ? -AskJeeves,ENTY:plant,0.5833
ENTY:plant," What plant has the largest seed ? The giant sequoia , or redwood tree .",ENTY:plant,0.5833
ENTY:plant, What plant is rum made from ? . - Anonymous,ENTY:plant,0.5833
ENTY:plant, What plant has the largest seed ? - AskABiologist,ENTY:plant,0.583
HUM:title," What is the occupation of Nicholas Cage ? , he also goes under nicknames .",HUM:title,0.5535
HUM:title, What was Eduard Shevardnadze 's job in Georgia ?,HUM:title,0.5515
HUM:title, What was Eduard Shevardnadze 's job ?,HUM:title,0.5511
