label,text,predicted_label,probability
distance, how far is it from the airport to downtown baltimore,distance,0.7773
distance, how far is it from la guardia airport to manhattan,distance,0.7773
distance, how far is it from the atlanta airport to downtown,distance,0.777
distance, how far is it from denver airport to downtown,distance,0.777
distance, how far is it from the airport to dallas downtown,distance,0.7768
distance, how far is it from atlanta airport to the city,distance,0.7765
distance, how far is it from the airport to downtown denver,distance,0.7747
distance, how far is it from the airport to downtown pittsburgh,distance,0.7741
distance, how far is it from denver to salt lake city,distance,0.7737
distance, how far is the airport from downtown boston by taxi,distance,0.7719
capacity, what is the seating capacity for m80 and 733,capacity,0.9008
capacity, what is the seating capacity of a m80 73s,capacity,0.9006
capacity, what is the seating capacity of an m80 dc 9,capacity,0.9006
capacity, what is the seating capacity of a 737 next,capacity,0.9004
capacity, what is the seating capacity on a 757 plane,capacity,0.9003
capacity, what is the seating capacity on 72s and m80,capacity,0.9002
capacity, what is the seating capacity of an aircraft m80,capacity,0.8999
capacity, what is the seating capacity for all 737's,capacity,0.8999
capacity, what is the seating capacity on an aircraft 73s,capacity,0.8999
capacity, what is the seating capacity of a 73220,capacity,0.8999
airfare, please show me round trip fares from philadelphia to atlanta,airfare,0.9227
airfare, what is the least expensive round trip fare from atlanta to philadelphia,airfare,0.9225
airfare, what 's the cheapest round trip fare between boston and denver,airfare,0.9225
airfare, what is the cheapest fare between dallas and san francisco,airfare,0.9223
airfare, what is the least expensive air fare between oakland and boston,airfare,0.9222
airfare, what 's the lowest round trip fare from dallas to san francisco,airfare,0.9221
airfare, what is the lowest round trip fare from atlanta to new york,airfare,0.9221
airfare, what is the lowest round trip fare from pittsburgh to dallas,airfare,0.922
airfare, what is the lowest fare from cincinnati to philadelphia,airfare,0.9218
airfare, i need the lowest air fare from boston to minneapolis on june thirtieth,airfare,0.9218
airport, show me a list of airports in the atlanta ga area,airport,0.9141
airport, list airports in san francisco and oakland with parking,airport,0.9106
airport, list airports in the new york city area including dallas,airport,0.9101
airport, show me all airports in the boston area please,airport,0.9098
airport, show me all airports in dallas fort worth please,airport,0.9097
airport, show me the airports near philadelphia pennsylvania please,airport,0.9094
airport, list la airports in los angeles california please thank you,airport,0.9085
airport, list airports in san diego county please show me all the dallas fort worth airport terminals,airport,0.9082
airport, show me airports in new york city please thank you,airport,0.908
airport, list all airports in california except los angeles and san francisco,airport,0.908
