label,text
abbreviation, what is the airport in michigan that gets the airport in mike
abbreviation, how many cities does the boston baltimore international airport belong to
abbreviation, what is espan
abbreviation,"SEP, what are the six cities with the largest number of airplane tickets"
abbreviation,"SEP, what is a dallas flight from dallas to philadelphia and from philadelphia to baltimore on dallas morning from atlanta time to atlanta time at monday afternoon at noon on dallas"
abbreviation, what is a flight number from michigan to baltimore on night of thursday night from denver to michigan
abbreviation, what is on the first class flight from boston to los angeles on american flight 829
abbreviation, what is the abbreviation for alaska
abbreviation, list the abbreviations used in air travel
abbreviation, what does mlb mean?
abbreviation, what is la
abbreviation, what is boston
abbreviation, firstname
abbreviation, what is boston's abbreviated name
abbreviation, what is ug
abbreviation, list all airports with monday flight from milwaukee to milwaukee
abbreviation, from tl;dr to what is tl;dr
abbreviation, what is service 2
abbreviation, what is airport in baltimore
abbreviation, what is the abbreviation of aar
abbreviation," what does it mean for a flight from san francisco to baltimore with a first class class airfare of $21,000"
abbreviation, which is the abbreviation for city
abbreviation, what is the ua boston airport
abbreviation,SEPSEP
abbreviation, list the cities of denver
abbreviation," show me the acronyms for the letters boston, baltimore, baltimore international and baltimore city"
abbreviation, nl
abbreviation, what is mco
abbreviation, what abbreviation is used in the city of san francisco
abbreviation, what is nl
abbreviation, what is is the abbreviation for st
abbreviation, what is mco
abbreviation, what is a commuter train in boston
abbreviation, what is in the american airport
abbreviation, which cities do people from chicago and nashville ride?
abbreviation, what is yahoo
abbreviation, what is a trip to boston
abbreviation, how many cities does julia have
abbreviation, what is the country with the shortest distance between cities
abbreviation, what is dallas newstand
abbreviation, how long is it between baltimore and seattle
abbreviation, how long is the list of stations in boston
abbreviation, what is ea
abbreviation, how many cities are in utah
abbreviation, what is the nsc abbreviation
abbreviation, what is boston in english
abbreviation, what is one of the abbreviations used for 
abbreviation,"SEP,what is the standard distance between boston and san francisco"
abbreviation, what is korea air transportation
abbreviation, what is the longest distance from downtown dallas to downtown dallas international airport
abbreviation, what is the dallas international flight number
abbreviation, what is a dallas air
abbreviation, what is an international d1
abbreviation, what is a dallas air flight
abbreviation,SEP
abbreviation, what is boston airport
abbreviation, what is a nasa 757
abbreviation, what is the first thing i need a cab from nyc to philadelphia
abbreviation, what is service international
abbreviation, how many places in the united states does boston stand
abbreviation, what is a boston 
abbreviation, what is first class airfare on american airlines
abbreviation, which boston in nashville a jim and julia who are on air with air 1 hour
abbreviation, which city does dallas have the lowest rent
abbreviation, what is a dallas time
abbreviation, what is the first ebb and flow of a jet
abbreviation, what airports in australia
abbreviation, what is mco
abbreviation, what is eu
abbreviation, how many flights does american airlines have with international between new york and philadelphia
abbreviation," _SEP, what is the abbreviation for downtown"
abbreviation, which is the time in the morning from the airport in denver to seattle
abbreviation, what is abbreviated
abbreviation, what does frat meaning?
abbreviation, what is the time from dallas to elkton
abbreviation, from morny
abbreviation, what is the length of a flight from pittsburgh to san francisco on friday before 8 pm
abbreviation,"name,SEP] what is abbreviation"
abbreviation, what is dallas and phoenix
abbreviation, what is cb with
abbreviation, what time do flights from boston to los angeles from philadelphia departure at noon on august twenty first
abbreviation, how long does american airline fly from milwaukee to san francisco
abbreviation, what is airfare for flights from boston to baltimore on july first
abbreviation, what does it mean
abbreviation, what city in england is the airport
abbreviation, what is tennessee air
abbreviation, what is dallas american airport
abbreviation, what is code u for u
abbreviation, what is wsh
abbreviation, how many cities is mco located in
abbreviation, what does the word dallas mean
abbreviation, what is new
abbreviation, list all airports in kansas
abbreviation, what is lans
abbreviation, what is the abbreviation for show me the cities in japan
abbreviation, what is a ytterb 
abbreviation, which airline flies from baltimore to dallas
abbreviation, how many cities does austin have
abbreviation, what are the flight numbers from boston to dallas on monday morning
abbreviation,"SEP,which is the abbreviation of dallas metro"
aircraft, what are the type of airplanes used on a flight from boston to san francisco on fuesday evening at 9:30 am
aircraft, what type of airplane fly from boston to milwaukee
aircraft, what kind of plane is there from malden to denver
aircraft, what type of aircraft is used in milwaukee
