label,text,predicted_label,probability
LOC:country, What country in Latin America is the largest one ?,LOC:country,0.1591
LOC:country, What country did the Nile River originate in ?,LOC:country,0.157
LOC:country, What country did the Silk Road originate in ?,LOC:country,0.1568
LOC:country, What country in Latin America is the largest by area ?,LOC:country,0.1567
LOC:country, What country is GENT a preposition of ?,LOC:country,0.1566
LOC:country, What country was GENTHORN from ?,LOC:country,0.1565
LOC:country, What country did Christopher Columbus set foot on ?,LOC:country,0.1558
LOC:country, What country is Argentina located in ? The South America .,LOC:country,0.1557
LOC:country, What country is Yugoslavia really the southern tip of ?,LOC:country,0.1556
LOC:country, What country 's capital is San Cristobal ?,LOC:country,0.1549
ENTY:color, What color is an orca ? ( Related :whats ),ENTY:color,0.2754
ENTY:color, What color is aNUM :moneypentnum ?,ENTY:color,0.274
ENTY:color, What color ofNUM :other [SEP] The numeral ``num '' is what colour ?,ENTY:color,0.2715
ENTY:color, What color is aNUM :moneyspan ?,ENTY:color,0.271
ENTY:color, What color are theNUM :messnum [SEP] How much num is there in a quart ?,ENTY:color,0.2707
ENTY:color, What color is theNUM :money sign ?,ENTY:color,0.2702
ENTY:color, What color is theNUM :other [SEP] How do you describe a number or quantity that does not fit into other specific categories ?,ENTY:color,0.2693
ENTY:color, What color ofNUM :money is a silver dollar ?,ENTY:color,0.2692
ENTY:color, What color ofNUM :other [SEP] What is the numeric value for one foot ?,ENTY:color,0.2692
ENTY:color, What color ofNUM :money do most counterfeits resemble ?,ENTY:color,0.2691
LOC:mount," What is the world 's highest mountain ?
 -",LOC:mount,0.3314
LOC:mount, What is the second highest mountain peak in Africa ?,LOC:mount,0.3277
LOC:mount, What is the second highest mountain in Africa ? Inquiries About Mountains,LOC:mount,0.3276
LOC:mount, What was the highest mountain on earth before Mt. Everest ?,LOC:mount,0.3273
LOC:mount, What was the highest mountain before Mount Everest 's discovery ?,LOC:mount,0.3272
LOC:mount, What is the highest mountain on earth ? Mount Everest .,LOC:mount,0.3271
LOC:mount, What was the highest mountain on earth before Mt. Everest 's discovery ?,LOC:mount,0.3264
LOC:mount, What is the highest mountain in North America ? The world ?,LOC:mount,0.3262
LOC:mount, What is the highest mountain in Africa ? The most famous example of an extinct volcano .,LOC:mount,0.325
LOC:mount, What is the highest mountain in South America ?s,LOC:mount,0.3248
ENTY:lang, What is a language spoken by the Sioux ?,ENTY:lang,0.3328
ENTY:lang, What is a language that only two people speak ?,ENTY:lang,0.3235
ENTY:lang, What language is most widely spoken in the world ?,ENTY:lang,0.3219
ENTY:lang, What is a language only Spaniards can speak ?,ENTY:lang,0.3195
